# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "16" "-s" "2" "-p" "-O" "-F" "SAF" "-a" "../pause_region_analysis/annotations/for_ratio/gene_body_regions.saf" "-o" "../pause_region_analysis/counts/genebody_counts_250down_tes.antisense.txt" "../tmp_forcounts//1_DW1_S10_L006.sorted.bam" "../tmp_forcounts//2_EW1_S11_L006.sorted.bam" "../tmp_forcounts//3_2D1_S12_L006.sorted.bam" "../tmp_forcounts//4_2E1_S13_L006.sorted.bam" "../tmp_forcounts//5_DW2_S14_L006.sorted.bam" "../tmp_forcounts//6_EW2_S15_L006.sorted.bam" "../tmp_forcounts//7_2D2_S16_L006.sorted.bam" "../tmp_forcounts//8_2E2_S17_L006.sorted.bam" "../tmp_forcounts//SOF1_DMSO_U2OS_PRO_1_S3_L002.sorted.bam" "../tmp_forcounts//SOF1_DMSO_U2OS_PRO_2_S7_L002.sorted.bam" "../tmp_forcounts//SOF1_E2_U2OS_PRO_1_S4_L002.sorted.bam" "../tmp_forcounts//SOF1_E2_U2OS_PRO_2_S8_L002.sorted.bam" "../tmp_forcounts//U2OS_DMSO_DBM_1_S22_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_DBM_2_S26_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_SOF3_1_S20_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_SOF3_2_S24_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_DBM_1_S23_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_DBM_2_S27_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_SOF3_1_S21_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_SOF3_2_S25_L007.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../tmp_forcounts//1_DW1_S10_L006.sorted.bam	../tmp_forcounts//2_EW1_S11_L006.sorted.bam	../tmp_forcounts//3_2D1_S12_L006.sorted.bam	../tmp_forcounts//4_2E1_S13_L006.sorted.bam	../tmp_forcounts//5_DW2_S14_L006.sorted.bam	../tmp_forcounts//6_EW2_S15_L006.sorted.bam	../tmp_forcounts//7_2D2_S16_L006.sorted.bam	../tmp_forcounts//8_2E2_S17_L006.sorted.bam	../tmp_forcounts//SOF1_DMSO_U2OS_PRO_1_S3_L002.sorted.bam	../tmp_forcounts//SOF1_DMSO_U2OS_PRO_2_S7_L002.sorted.bam	../tmp_forcounts//SOF1_E2_U2OS_PRO_1_S4_L002.sorted.bam	../tmp_forcounts//SOF1_E2_U2OS_PRO_2_S8_L002.sorted.bam	../tmp_forcounts//U2OS_DMSO_DBM_1_S22_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_DBM_2_S26_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_SOF3_1_S20_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_SOF3_2_S24_L007.sorted.bam	../tmp_forcounts//U2OS_E2_DBM_1_S23_L007.sorted.bam	../tmp_forcounts//U2OS_E2_DBM_2_S27_L007.sorted.bam	../tmp_forcounts//U2OS_E2_SOF3_1_S21_L007.sorted.bam	../tmp_forcounts//U2OS_E2_SOF3_2_S25_L007.sorted.bam
NM_030625.3	chr10	68560586	68694487	+	133902	1838	1622	3693	3042	2162	1668	2163	1967	745	719	761	605	1698	1393	1996	1689	1231	1148	1925	2040
NM_024045.2	chr10	68901564	68946847	+	45284	1713	1799	2172	2285	1785	1824	1274	1616	586	512	654	448	1349	1063	1285	1055	995	920	1432	1482
NM_000188.3	chr10	69319096	69401882	+	82787	1423	4526	1976	6509	1663	4618	1283	4440	709	701	1818	1464	1174	866	915	993	831	768	4179	4328
NM_012339.5	chr10	69451714	69507666	+	55953	60	51	188	133	66	45	116	82	23	26	16	2	27	26	50	44	29	32	49	25
NM_001368882.1	chr10	69802155	69959144	+	156990	1228	1322	1315	1259	1403	1299	800	781	245	283	300	240	473	370	976	859	316	276	1116	1186
NM_032797.6	chr10	70112270	70132575	-	20306	697	687	989	1019	666	685	618	718	394	399	446	367	642	447	834	665	472	427	903	883
NM_014431.3	chr10	70479016	70568450	+	89435	1929	1905	1706	1774	1991	1785	1101	1263	688	720	791	612	1046	777	1106	849	771	602	1463	1415
NM_001318241.2	chr10	70771237	70785127	-	13891	4	2	9	5	8	5	7	3	0	1	0	0	1	0	0	0	0	0	1	0
NM_022124.6	chr10	71397169	71815947	+	418779	464	429	988	766	511	479	512	521	111	113	146	142	215	147	409	421	153	141	508	523
NM_002778.4	chr10	71816297	71851001	-	34705	2009	2745	2647	3186	2291	2859	1707	2287	1087	1025	1421	1150	1702	1227	1687	1502	1332	1150	2160	2280
NM_173473.4	chr10	72216261	72235860	+	19600	1300	1387	1861	1895	1487	1450	1153	1212	642	601	640	470	1244	904	1469	1301	855	819	1598	1494
NM_001195518.2	chr10	72367339	72625829	-	258491	3705	3690	4784	4328	4016	3790	3090	2745	1324	1522	1481	1365	3402	2547	3186	2759	2592	2140	3445	3337
NM_138357.3	chr10	72692392	72887694	+	195303	3699	3826	5302	4715	4116	3875	3313	3066	1425	1569	1654	1256	4062	3021	3678	3207	2841	2617	3631	3699
NM_007265.3	chr10	73133667	73167758	-	34092	1344	1357	1860	1686	1424	1420	1153	1015	499	456	526	361	1235	942	1295	1047	950	869	1237	1297
NM_001367801.1	chr10	73253761	73358614	-	104854	236	225	360	352	220	257	224	202	105	120	138	99	206	138	196	159	150	118	208	182
NM_001391956.1	chr10	73497537	73591092	-	93556	3244	3250	4024	3361	3479	3144	2544	2069	1354	1480	1541	1007	3432	2412	1332	1106	2684	2195	1321	1333
NM_001367799.1	chr10	73785855	73801793	+	15939	892	983	869	936	959	915	537	545	392	540	511	402	631	499	489	425	444	411	536	660
NM_014000.3	chr10	73998365	74120169	+	121805	4299	4290	5150	5074	4817	4417	3216	3388	1512	1627	1945	1451	3267	2315	2582	2283	2442	2253	2750	2928
NM_012330.4	chr10	74826849	75032624	+	205776	2862	3266	4822	4816	3256	3209	3168	2981	1233	1444	1495	1293	3144	2409	2806	2417	2223	2129	2871	3024
NM_144589.4	chr10	75233640	75235707	-	2068	135	113	272	239	130	114	166	190	97	97	71	78	138	78	115	88	97	58	85	97
NM_004747.4	chr10	77790790	77926505	-	135716	6943	6760	8396	8040	7436	6715	5460	5326	3494	3605	3620	3096	6306	4527	4240	3708	4503	3864	4305	4441
NM_007055.4	chr10	77975148	78029265	-	54118	1629	1743	2236	2505	1726	1801	1526	1630	941	927	933	693	1722	1201	1494	1379	1198	980	1574	1543
NM_020338.4	chr10	79069215	79316519	+	247305	7460	8339	12355	12188	7960	7849	7770	8400	4434	4554	5466	4055	7162	4861	5854	4993	4771	4028	8054	8752
NM_153367.4	chr10	79382324	79445374	-	63051	2165	2169	3854	3253	2370	1975	2185	2158	1117	1091	1153	942	1578	1131	1748	1607	1024	913	1948	1947
NM_025125.4	chr10	80078914	80092551	+	13638	649	632	983	835	745	622	561	536	262	331	287	267	614	433	541	471	431	427	575	513
NM_001269053.2	chr10	80336104	80356505	-	20402	2	1	9	5	2	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0
NM_030927.4	chr10	80454559	80522631	+	68073	2586	2626	3590	3316	2752	2527	2302	2251	1503	1549	1501	1182	2725	1782	2179	1879	1809	1539	2159	2094
NM_001388272.1	chr10	80538151	80646560	+	108410	154	143	217	189	166	169	128	129	73	100	94	60	137	86	90	97	81	83	97	107
NM_014394.3	chr10	84139758	84153568	+	13811	582	684	1028	815	768	759	538	493	340	248	311	259	748	497	485	296	502	471	415	479
NM_001284240.2	chr10	84328838	84518517	+	189680	4481	4618	6365	5581	5183	4806	4013	3575	1977	2016	2132	1679	5042	3761	2456	2246	3721	3233	2464	2535
NM_015045.5	chr10	86435255	86521542	-	86288	3382	3544	4502	4993	3918	3711	2821	2918	1290	1348	1634	1254	3704	2660	1754	1503	2496	2163	1851	1843
NM_004329.3	chr10	86756868	86927969	+	171102	3360	3374	5442	4654	3404	3366	3183	2781	1409	1495	1437	1402	3552	2603	2450	1848	2417	2170	2428	2291
NM_001330112.2	chr10	87095455	87191465	+	96011	1898	1943	2765	2732	1860	2059	1996	1948	657	514	622	496	1393	1178	914	821	1198	1037	1025	1124
NM_001015880.2	chr10	87660127	87747705	+	87579	953	1500	1869	3028	1078	1420	1116	1880	383	317	421	333	774	542	476	435	646	520	1378	1310
NM_000314.8	chr10	87863874	87971930	+	108057	2494	2608	4006	3803	2913	2717	2609	2429	951	859	921	748	2528	1823	1626	1480	1756	1623	1978	1962
NM_001031709.3	chr10	88284101	88583068	-	298968	837	990	1407	1446	889	1034	839	890	285	231	296	248	686	504	483	365	552	496	518	553
NM_001010939.3	chr10	88587011	88606976	+	19966	39	50	52	38	53	37	28	34	32	11	24	5	54	27	21	24	36	30	31	37
NM_001080518.2	chr10	88706498	88752776	+	46279	49	34	24	22	53	25	31	15	4	3	10	12	24	19	15	13	24	3	12	5
NM_000043.6	chr10	88991047	89017059	+	26013	253	211	466	366	244	266	297	237	89	54	65	55	179	129	247	218	172	169	274	266
NM_213606.4	chr10	89430298	89535344	-	105047	79	98	152	88	126	83	84	67	35	42	36	17	82	61	72	61	65	62	63	66
NM_019859.4	chr10	90740822	90857789	-	116968	65	34	61	70	76	45	44	41	3	21	15	5	22	11	24	15	19	14	21	24
NM_182765.6	chr10	91410593	91514820	+	104228	1781	1651	3148	2683	1948	1784	1881	1590	599	636	643	496	1470	1141	868	718	1086	955	826	876
NM_003972.3	chr10	91924019	92031437	+	107419	2932	2982	4400	4150	3133	3164	2696	2437	782	1067	1192	872	2665	1885	1712	1447	1980	1902	1875	1916
NM_004969.4	chr10	92451683	92573843	-	122161	1767	1973	2769	2742	2016	2014	1782	1686	837	943	1010	733	2057	1451	1156	1196	1441	1321	1420	1471
NM_019053.6	chr10	92848769	93059490	+	210722	2598	2656	3758	3899	2892	2770	2514	2490	819	874	923	693	2232	1750	1729	1646	1747	1368	1825	1872
NM_183374.3	chr10	93061047	93069540	+	8494	217	209	281	294	237	246	169	184	77	119	133	74	201	144	138	82	123	123	126	140
NM_001195755.2	chr10	93566914	93590072	+	23159	1	3	9	6	5	1	3	8	1	0	0	0	0	6	0	0	2	2	0	2
NM_016341.4	chr10	93994180	94332823	+	338644	5411	5581	11702	10141	6264	5862	7045	6399	2989	3027	3071	2648	6995	5058	4596	3932	4785	4132	4292	4367
NM_015188.2	chr10	94402790	94536332	+	133543	2021	1815	3479	2793	2193	1923	2364	1797	724	775	771	658	2034	1403	1061	835	1391	1352	922	917
NM_000769.4	chr10	94762930	94855547	+	92618	106	100	130	127	87	114	70	73	22	32	20	17	49	46	56	45	49	19	34	47
NM_020992.4	chr10	95237571	95290753	-	53183	516	540	1185	1000	523	502	726	563	481	618	430	359	1034	729	459	380	800	678	412	438
NM_015631.6	chr10	95663400	95693677	-	30278	678	739	1196	1156	770	781	639	763	333	421	333	313	786	469	552	473	505	498	537	586
NM_001776.6	chr10	95756412	95877266	+	120855	134	153	245	172	144	106	156	110	12	36	27	19	73	37	28	26	46	35	23	19
NM_001349008.3	chr10	95908224	96033745	+	125522	37	41	77	56	32	28	41	40	5	25	6	3	29	24	13	10	11	14	26	20
NM_013314.4	chr10	96189170	96271319	-	82150	12	15	32	25	10	10	6	10	0	1	0	2	2	3	3	1	0	0	1	9
NM_004088.4	chr10	96304683	96338564	+	33882	7	6	7	5	6	1	3	11	0	0	1	0	2	0	0	2	0	0	0	0
NM_152309.3	chr10	96593314	96720264	-	126951	383	494	739	752	436	548	488	515	219	243	235	198	379	289	208	156	289	234	250	174
NM_001346516.2	chr10	96832547	96995956	+	163410	5918	7067	9888	11472	6638	7551	6123	6889	2049	1888	2521	2119	5032	3874	3507	3437	3851	3485	4273	4276
NM_003061.3	chr10	96998037	97185709	-	187673	354	365	652	552	390	349	344	342	143	108	124	91	250	157	185	167	166	142	177	208
NM_032900.6	chr10	97222178	97292387	-	70210	1615	1638	2762	2650	1849	1641	1786	1602	585	772	666	563	1389	995	916	803	1118	1005	961	923
NM_015179.4	chr10	97356700	97401090	-	44391	694	844	957	1251	915	771	672	794	342	281	335	261	521	362	362	343	402	324	376	421
NM_018425.4	chr10	97640920	97676434	+	35515	1199	1774	1862	2542	1447	1942	1153	1603	640	628	725	703	1104	739	696	669	825	741	940	1073
NM_018058.7	chr10	97864999	98030371	-	165373	305	227	634	536	286	256	373	289	107	106	142	97	181	140	208	200	128	99	181	231
NM_001351015.2	chr10	98134906	98244897	+	109992	2439	2524	3782	3852	2696	2540	2350	2412	827	854	900	829	2100	1514	1847	1540	1651	1397	2022	1975
NM_000195.5	chr10	98416197	98446685	-	30489	1543	1777	2513	2866	1546	1618	1544	1967	673	793	842	717	1126	855	1032	872	880	764	1195	1226
NM_020348.3	chr10	99329605	99394330	+	64726	149	178	222	231	158	170	139	130	73	96	98	55	121	84	38	34	84	73	55	71
NM_015960.3	chr10	99732483	99756134	+	23652	440	476	848	757	467	502	505	450	182	221	172	159	375	311	393	356	312	267	443	427
NM_015221.4	chr10	99875576	100009697	-	134122	3974	5642	4796	6308	4231	5810	2947	3904	803	893	1109	1024	1813	1306	2550	2134	1453	1303	3872	3742
NM_000278.5	chr10	100745831	100829944	+	84114	187	200	508	371	203	168	277	280	66	78	61	72	142	73	291	261	69	95	262	256
NM_018121.4	chr10	100913212	100965134	+	51923	2753	2725	4589	4908	3020	2903	2903	3034	910	944	1016	846	2232	1714	2476	1992	1547	1448	2422	2741
NM_033637.4	chr10	101354414	101557313	+	202900	2445	2554	4022	3752	2956	2526	2631	2516	900	1044	1074	913	2462	1829	2578	2270	1760	1659	2602	2569
NM_001174084.2	chr10	101578881	101588007	-	9127	456	519	830	752	494	461	506	513	355	284	310	268	471	357	468	555	324	260	529	494
NM_173191.3	chr10	101825973	101843550	-	17578	430	396	559	484	397	368	346	386	227	184	196	137	295	219	219	231	185	183	270	274
NM_024541.3	chr10	101845598	102055923	-	210326	3463	3427	5349	5163	3697	3684	3363	3309	1507	1426	1761	1347	3384	2472	2986	2550	2441	2180	3323	3491
NM_005029.4	chr10	102230188	102241262	-	11075	28	23	78	26	28	12	20	25	18	23	18	9	42	34	35	41	29	20	32	33
NM_001377137.1	chr10	102245781	102382896	+	137116	2424	2399	4011	4028	2749	2431	2549	2538	1241	1211	1318	1049	2589	1803	2410	2084	1770	1587	2441	2407
NM_005736.4	chr10	102479228	102502462	-	23235	1006	1129	1587	1886	1096	1190	1014	1303	771	747	762	572	1145	734	899	891	780	619	988	1035
NM_016169.4	chr10	102504221	102633535	+	129315	1338	1327	2554	2353	1508	1321	1545	1638	728	805	936	754	1404	1047	1248	1156	920	835	1362	1416
NM_020682.4	chr10	102869719	102901899	+	32181	388	370	551	553	435	367	363	374	117	172	145	127	202	155	251	200	193	137	214	284
NM_017649.5	chr10	102918543	103090222	+	171680	1471	1542	2324	1995	1695	1482	1412	1277	629	527	623	634	1443	1011	1116	1027	972	829	1150	1230
NM_001351169.2	chr10	103088037	103193022	-	104986	3261	3407	4704	4565	3618	3328	2944	3039	1023	1081	1203	1024	2848	2045	2887	2512	2102	1965	2920	3019
NM_032727.4	chr10	103277387	103290346	+	12960	4	5	14	2	14	5	5	5	0	0	1	1	1	1	1	0	0	1	0	0
NM_014976.2	chr10	103396875	103446294	+	49420	1122	1251	1738	2003	1169	1271	1102	1371	486	488	495	424	875	648	1034	967	634	518	1170	1119
NM_004210.5	chr10	103493954	103592546	+	98593	77	153	183	152	115	124	98	133	20	60	39	31	38	24	112	95	35	38	165	155
NM_000494.4	chr10	104031285	104085630	-	54346	116	128	182	188	123	132	92	106	65	85	64	25	113	83	98	100	73	70	109	133
NM_025145.7	chr10	104129887	104232114	-	102228	282	251	627	502	248	240	376	340	89	120	82	48	171	150	255	247	166	120	212	211
NM_001272013.2	chr10	104309699	104338215	-	28517	1502	1442	2292	1754	1694	1356	1330	1239	514	555	558	428	760	539	680	548	681	577	712	770
NM_130439.3	chr10	110207854	110287365	+	79512	1133	1052	1843	1530	1208	1084	1003	904	371	472	382	292	1031	662	822	692	670	607	752	605
NM_001134363.3	chr10	110644585	110839468	+	194884	692	771	1172	1160	843	796	728	705	300	307	442	326	654	498	764	605	453	464	944	866
NM_014456.5	chr10	110872177	110900006	+	27830	1257	1247	1939	1686	1458	1331	1218	1077	320	250	343	284	801	692	816	816	683	647	874	935
NM_145206.4	chr10	112447464	112818744	+	371281	3424	3497	5286	5078	3812	3536	3235	2978	1315	1530	1410	1147	3219	2223	2393	1963	2386	2115	2415	2400
NM_001367943.1	chr10	112950496	113167678	+	217183	9718	9088	17099	14341	10624	9086	10668	9400	4326	4460	4289	3576	9067	6280	5559	4905	6543	5772	5388	5349
NM_198060.4	chr10	113588713	113663791	-	75079	11	5	9	20	12	8	7	12	0	0	0	0	1	0	0	4	0	0	0	0
NM_001395068.1	chr10	113751931	113783429	+	31499	12	9	61	84	17	22	34	41	3	0	6	9	5	7	1	0	2	0	1	11
NM_198514.4	chr10	113854910	113917194	+	62285	2216	2252	3828	3338	2561	2360	2309	2073	616	663	713	591	1682	1294	1265	1141	1291	1210	1358	1435
NM_018017.4	chr10	114120861	114173953	-	53093	728	815	1172	1198	844	882	725	705	343	336	333	244	786	612	439	411	576	546	548	573
NM_002313.7	chr10	114431111	114658025	-	226915	19111	21433	24534	21965	21698	21547	15052	14017	10203	10849	11657	9758	21532	15176	8876	7689	16307	14061	9268	9633
NM_139169.5	chr10	114938444	114977676	+	39233	806	802	1495	1301	832	903	873	896	306	424	326	261	891	695	635	597	607	564	657	560
NM_005264.8	chr10	116056924	116272956	-	216033	70	73	117	181	83	68	56	105	32	23	22	10	28	8	58	59	18	21	107	107
NM_001127211.3	chr10	116881476	117004937	-	123462	3075	3089	5411	5013	3325	3355	3532	2990	1178	1104	1153	1100	2954	2147	2115	1701	2273	2029	2136	2217
NM_173791.5	chr10	117277273	117375190	-	97918	1492	1621	2791	2665	1780	1644	1554	1733	568	583	667	512	1499	1086	1128	844	1080	900	985	1064
NM_153810.5	chr10	118676410	118754720	-	78311	1566	1577	2466	2712	1716	1698	1643	1683	600	676	674	628	1453	1087	1049	894	1133	1014	1225	1147
NR_186540.1	chr10	118784543	119029321	-	244779	370	383	718	552	397	374	384	377	110	169	148	108	227	174	305	266	183	158	363	339
NM_213649.2	chr10	119140766	119165464	-	24699	482	610	902	983	539	556	568	679	220	182	214	165	360	269	265	273	253	209	327	281
NM_005308.3	chr10	119207820	119459745	+	251926	1741	2002	3872	4120	1848	1896	2317	2606	1029	891	1082	807	1746	1078	1645	1215	1182	1018	1759	1781
NM_004281.4	chr10	119651629	119677819	+	26191	982	1047	1672	1655	1144	1027	1059	1144	456	484	448	377	862	590	415	311	521	517	514	577
NM_014937.4	chr10	119726299	119829147	+	102849	1158	1123	1737	1817	1190	1119	1106	1149	409	344	422	340	866	592	520	389	621	518	656	568
NM_007190.4	chr10	119892979	119944657	+	51679	1668	1722	2501	2752	1746	1729	1679	1758	716	608	608	515	1418	1051	874	778	1091	955	1013	1147
NM_000141.5	chr10	121478331	121598194	-	119864	602	571	1489	959	706	564	1030	718	411	436	314	307	855	594	530	497	526	519	434	451
NM_001001976.3	chr10	121740423	121927781	-	187359	2383	2546	3882	3731	2784	2594	2437	2366	1066	989	1129	1055	2705	1962	1568	1289	1854	1738	1603	1703
NM_206862.4	chr10	121989412	122254542	+	265131	1182	1718	2580	3203	1220	1734	1644	2218	710	752	884	608	1303	863	552	484	812	762	775	798
NM_144587.5	chr10	122271545	122338159	+	66615	703	893	1897	1778	736	914	1083	1062	415	517	533	471	955	647	136	125	683	620	182	173
NM_001001974.4	chr10	122374957	122432345	+	57389	922	913	1267	1351	1036	1018	790	849	373	456	467	384	1102	778	416	380	794	755	498	512
NM_024942.4	chr10	122930900	122953977	-	23078	445	519	897	771	486	510	498	434	183	148	219	144	501	379	356	274	317	335	352	315
NM_198148.3	chr10	123745638	123891557	-	145920	62	112	143	214	82	91	82	123	22	43	64	50	46	39	24	28	29	31	44	75
NM_022126.4	chr10	124462072	124614141	+	152070	2333	2384	3846	3861	2534	2288	2355	2542	1236	1249	1240	1074	2047	1546	1272	1103	1398	1367	1223	1371
NM_014661.4	chr10	124619291	124744128	-	124838	1155	1254	2215	2109	1302	1162	1448	1437	820	658	723	618	1149	909	906	743	847	666	783	923
NM_001329.4	chr10	124984316	125160313	-	175998	7472	7340	11068	10150	7971	6962	7283	6688	3599	3323	3572	2931	6831	4780	4221	3391	4820	3941	4208	4094
NM_145235.5	chr10	125896813	126009592	+	112780	642	646	1388	1425	733	764	888	923	214	209	250	189	547	402	330	265	376	328	324	259
NM_001288973.2	chr10	126012390	126388227	-	375838	5081	6737	9162	9075	5703	6534	5686	5437	1912	2056	2123	1810	4926	3390	1346	1080	3710	3402	1641	1563
NM_001350921.2	chr10	126424996	126670443	-	245448	152	294	316	610	205	340	197	316	50	57	58	109	84	46	53	40	71	58	193	123
NM_001290223.2	chr10	126905677	127452516	+	546840	10438	10997	15295	14387	11472	11071	9630	9465	4594	4658	5103	4141	8826	6247	7086	5989	6207	5614	7498	7517
NM_001039762.3	chr10	127135429	127196341	-	60913	82	89	168	121	106	93	88	92	28	35	26	14	28	35	50	25	30	21	64	59
NM_002412.5	chr10	129467490	129770983	+	303494	1459	1589	2342	2236	1596	1508	1654	1539	646	677	752	630	1341	871	885	724	856	752	839	854
NM_001375380.1	chr10	129835232	129964024	-	128793	210	266	344	353	243	279	229	239	115	102	108	93	198	168	259	217	102	101	302	337
NM_006541.5	chr10	130136640	130179672	+	43033	787	879	1267	1344	945	879	750	855	308	343	309	314	662	605	768	633	542	444	805	863
NM_174937.4	chr10	131092390	131311471	-	219082	471	512	727	834	547	478	463	520	240	170	229	176	348	226	505	418	233	246	549	613
NM_173575.4	chr10	132207491	132307700	-	100210	240	275	520	410	313	253	287	271	138	118	101	63	184	114	185	158	124	79	159	206
NM_005539.5	chr10	132538036	132783480	+	245445	2766	3232	4344	4455	2888	3141	2777	3110	1349	1405	1829	1414	2481	1766	1674	1350	1790	1512	2246	2265
NM_001200049.3	chr10	132808391	132942320	-	133930	428	342	651	593	487	339	418	462	135	156	165	111	188	152	192	196	193	103	220	220
NM_006659.4	chr10	133278634	133308622	-	29989	901	939	1451	1361	997	961	929	925	445	439	484	368	654	456	574	476	514	354	621	693
NM_001143764.3	chr10	133554846	133565333	-	10488	307	310	407	452	329	351	327	344	151	153	148	121	268	152	248	232	199	156	280	264
NM_177987.3	chr10	46887	49046	-	2160	0	0	3	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	2	0
NM_001370100.5	chr10	135704	254637	+	118934	841	924	1167	1186	972	973	701	760	286	339	315	257	707	616	836	779	542	502	843	920
NM_012341.3	chr10	988683	1019932	+	31250	803	765	1039	959	867	883	671	656	295	257	331	275	634	447	574	471	430	432	717	689
NM_033261.3	chr10	1018909	1025609	-	6701	0	3	5	4	3	2	1	1	0	0	0	0	3	0	0	0	0	1	0	0
NM_014023.4	chr10	1056634	1132372	+	75739	592	692	749	794	744	533	443	552	274	220	293	205	400	333	446	401	287	341	525	532
NM_002627.5	chr10	3067797	3136802	+	69006	1631	1638	2774	2742	1771	1645	1812	1875	412	470	572	381	795	578	885	684	628	616	903	903
NM_001300.6	chr10	3775995	3784959	-	8965	1251	1133	1664	1372	1373	1032	1036	1068	479	528	502	461	916	730	914	770	699	713	896	893
NM_001040177.3	chr10	4826456	4848062	+	21607	338	270	440	404	324	312	222	216	116	160	129	97	229	157	248	177	209	169	231	259
NM_001393392.1	chr10	4987774	5003607	-	15834	1	2	6	2	2	3	7	1	0	0	2	0	2	3	0	5	0	4	0	2
NM_003739.6	chr10	5094663	5107686	+	13024	113	113	175	138	155	137	117	82	39	54	63	66	172	143	78	64	128	116	41	49
NM_001395972.1	chr10	5153919	5184900	-	30982	25	38	31	15	25	46	8	12	0	1	3	3	10	8	12	14	7	16	21	17
NM_001818.5	chr10	5197086	5218949	+	21864	15	15	29	7	9	6	9	8	0	4	7	11	11	22	0	0	7	15	1	1
NM_024803.3	chr10	5393100	5404578	-	11479	0	6	6	2	10	1	3	0	0	4	4	3	0	0	1	0	0	0	1	0
NM_001047160.3	chr10	5412806	5459056	+	46251	1261	1320	1774	1904	1398	1365	1057	1105	420	491	524	379	1251	825	1295	1053	913	800	1303	1206
NM_005185.4	chr10	5525210	5526771	+	1562	0	1	1	1	2	0	7	0	1	0	1	0	0	1	0	0	0	0	0	1
NM_024701.4	chr10	5638866	5666345	-	27480	663	865	862	1386	652	796	538	954	307	328	316	277	438	318	441	448	312	243	762	863
NM_001321783.2	chr10	5685087	5763740	+	78654	1550	1784	2368	2687	1809	1875	1373	1801	500	510	569	470	1257	906	1329	1010	875	777	1273	1413
NM_019046.3	chr10	5861615	5889643	-	28029	279	380	486	528	319	391	270	373	204	186	226	180	319	243	387	352	246	170	363	381
NM_002189.4	chr10	5952383	5977293	-	24911	21	31	66	57	33	29	49	28	3	3	6	1	4	13	18	12	8	0	20	21
NM_032905.5	chr10	6089283	6117447	+	28165	1257	1259	1666	1714	1344	1294	1084	1138	500	464	495	469	1127	777	1326	1016	882	873	1346	1337
NM_004566.4	chr10	6203181	6235532	+	32352	1108	1437	1408	2011	1091	1215	893	1386	503	535	676	547	861	610	763	580	607	549	864	890
NM_012311.4	chr10	7750961	7787743	-	36783	1131	1141	1251	1301	1301	1282	932	871	525	503	537	485	1196	806	1193	1034	887	792	1273	1304
NM_001001973.3	chr10	7788426	7807801	+	19376	851	940	1280	1278	1061	1026	842	847	406	525	448	398	953	676	923	824	649	684	1068	1094
NM_001002295.2	chr10	8054937	8075198	+	20262	167	223	323	290	214	215	162	191	87	81	129	57	176	134	154	121	111	108	196	160
NM_024693.5	chr10	11742631	11764070	+	21440	575	620	884	679	649	606	516	473	344	245	299	262	556	431	488	503	466	419	502	427
NM_153256.4	chr10	11823605	11872277	+	48673	1021	995	1261	1010	1173	986	853	641	588	485	656	530	1094	694	778	650	749	677	794	758
NM_018706.7	chr10	12069203	12123221	+	54019	966	938	1141	1177	1026	920	746	786	394	455	428	365	746	561	907	766	521	446	906	898
NM_018144.4	chr10	12129926	12165407	+	35482	549	542	606	746	499	537	375	540	276	327	291	256	549	443	570	458	366	348	634	584
NM_006023.3	chr10	12196437	12250589	+	54153	1326	1466	1620	1640	1455	1536	937	1113	650	799	672	689	1469	1090	1274	1144	1098	910	1381	1431
NM_018518.5	chr10	13161807	13211110	+	49304	2120	2022	2856	3086	2245	2274	1834	1850	657	747	615	599	1375	1013	1590	1294	901	928	1606	1716
NM_145314.3	chr10	13221765	13234124	-	12360	5	3	2	2	3	3	4	2	4	0	1	4	5	3	0	2	5	4	1	4
NM_006214.4	chr10	13277798	13299814	-	22017	379	325	411	319	357	341	242	228	130	110	151	137	271	194	193	176	208	213	231	220
NM_012247.5	chr10	13317427	13348043	-	30617	1790	1895	2801	2430	1990	1952	1641	1596	815	794	855	802	1945	1440	2154	1736	1388	1220	2001	2265
NM_003675.4	chr10	13587214	13630859	+	43646	800	828	906	990	880	972	640	630	376	378	431	364	905	634	813	658	680	681	874	917
NM_001029954.3	chr10	14819244	14837787	-	18544	232	204	293	258	245	232	189	163	148	110	140	63	239	179	224	160	136	185	197	184
NM_001378785.1	chr10	14838555	14846999	+	8445	717	846	951	906	802	831	588	569	337	414	433	314	694	541	657	565	490	484	677	650
NM_016299.4	chr10	14838555	14871741	+	33187	1269	1417	1533	1596	1418	1457	1001	990	570	584	654	550	1138	875	1128	944	855	853	1160	1176
NR_186426.1	chr10	14876322	14878409	-	2088	318	364	427	377	388	350	244	292	253	288	235	198	282	219	255	223	208	230	187	258
